clips	text	text_process	pictos	tokens
cefc-fleuron-V_Rint_03_P5-81	pour euh l'envoyer par fax	pour euh l'envoyer par fax	[7194, 8476, 21828, 7212, 15909]	pour le envoyer par fax
cefc-fleuron-V_Rint_03_P5-65	mh mh euh ont trente points hein euh sur le contrat d'études	mh mh euh ont trente points hein euh sur le contrat d'études	[32761, 29298, 3218, 5451, 8476, 25696, 7074, 36055, 3417]	avoir 30 point sur le accord de études !
cefc-fleuron-V_Rint_03_P5-101	bien sinon vous avez vu votre professeur coordinateur non	bien sinon vous avez vu votre professeur coordinateur non	[5397, 9839, 7304, 6564, 12285, 2457, 33970, 5525]	heureusement passé vous voir votre maître coordonner non
cefc-fleuron-V_Rint_03_P5-66	on leur dit vous avez trente points euh	on leur dit vous avez trente points euh	[31672, 12274, 9693, 7304, 32761, 29298, 3218]	nous leur dire vous avoir 30 point
cefc-fleuron-V_Rint_03_P5-48_2	lundi vingt-et-un-septembre	lundi vingt-et-un-septembre	[6554]	lundi
cefc-fleuron-V_Rint_03_P5-83	euh j'ai des fax qui ne sont pas passés	euh j'ai des fax qui ne sont pas passés	[9839, 6632, 32761, 5374, 15909, 11351, 31999, 5526]	passé me avoir plusieurs fax que passer non
cefc-fleuron-V_Rint_03_P5-42	et puis euh euh beaucoup beaucoup d'étudiants participent euh à ces cours	et puis euh euh beaucoup beaucoup d'étudiants participent euh à ces cours	[5521, 7074, 6042, 11475, 7041, 7092, 23404]	beaucoup de élève prendre_part à ces cours
cefc-fleuron-V_Rint_03_P5-106	nnaammee d'accord d'accord	nnaammee d'accord d'accord	[36935, 31410]	haut_du_corps d'accord
cefc-fleuron-V_Rint_03_P5-20	vous voyez oblt	vous voyez oblt	[7304, 6564, 36935]	vous voir haut_du_corps
cefc-fleuron-V_Rint_03_P5-56	vous pourrez euh participer euh aux cours le mardi vingt-deux jusqu'au vendredi vingt-cinq	vous pourrez euh participer euh aux cours le mardi vingt-deux jusqu'au vendredi vingt-cinq	[9829, 7304, 35949, 11475, 7041, 23404, 8476, 6557, 29282, 11709, 6629, 29288]	prochain vous pouvoir prendre_part à cours le mardi 22 au vendredi 25
cefc-fleuron-V_Rint_03_P5-41	ça vous permet d'améliorer le français	ça vous permet d'améliorer le français	[6906, 7304, 21014, 7074, 11705, 8476, 36367]	celle-là vous permettre de améliorer le français
cefc-fleuron-V_Rint_03_P5-27	euh je voulais juste vous demander	euh je voulais juste vous demander	[9839, 6632, 5441, 21381, 7304, 9840]	passé me vouloir juste vous demander
cefc-fleuron-V_Rint_03_P5-33	parce que euh on organise euh pour les étudiants erasmus des cours euh spécifiques pour vous mh	parce que euh on organise euh pour les étudiants erasmus des cours euh spécifiques pour vous mh	[11348, 31672, 33970, 7194, 8477, 6042, 12333, 5374, 23404, 7194, 7304]	parce_que nous coordonner pour les élève association_à_but_non_lucratif plusieurs cours pour vous
cefc-fleuron-V_Rint_03_P5-36	les après-midis il y a un test qui est prévu lundi	les après-midis il y a un test qui est prévu lundi	[9839, 8477, 7268, 9001, 2627, 36972, 11351, 32745, 6564, 6554]	passé les après-midi il_y_a un prélèvement_pharyngé que avant voir lundi
cefc-fleuron-V_Rint_03_P5-49	amphithéâtre a zéro quarante-deux c'est juste l'amphithéâtre qui est à côté de mon bureau	amphithéâtre a zéro quarante-deux c'est juste l'amphithéâtre qui est à côté de mon bureau	[34300, 7041, 2626, 29326, 7095, 36480, 21381, 8476, 34300, 11351, 36480, 5367, 12264, 2916]	amphithéâtre à zéro 42 celui-là être juste le amphithéâtre que être à_côté_de mon bureau
cefc-fleuron-V_Rint_03_P5-19	correspond à celui-ci hein	correspond à celui-ci hein	[5584, 7041, 7091, 3417]	oui à cet !
cefc-fleuron-V_Rint_03_P5-53_2	c'est un test pour évaluer votre niveau de français parce qu'il y aura plusieurs groupes d'étudiants mh hein suivant les niveaux hein faible bon très	c'est un test pour évaluer votre niveau de français parce qu'il y aura plusieurs groupes d'étudiants mh hein suivant les niveaux hein faible bon très	[9829, 7095, 36480, 2627, 36972, 7194, 12285, 37864, 7074, 36367, 11348, 9001, 5374, 7116, 7074, 6042, 27331, 8477, 9119, 25044, 34641, 25708]	prochain celui-là être un prélèvement_pharyngé pour votre étage de français parce_que il_y_a plusieurs groupe de élève suivre les niveau faible exact trop
cefc-fleuron-V_Rint_03_P6-117	sinon vous avez d'autres questions	sinon vous avez d'autres questions	[7304, 32761, 7074, 17056, 7217]	vous avoir de autres question
cefc-fleuron-V_Rint_03_P6-44	oui oui oui	oui oui oui	[5584]	oui
cefc-fleuron-V_Rint_03_P6-93	mais peut-être que si voulez ouvrir un compte en banque on vous demandera un certificat	mais peut-être que si voulez ouvrir un compte en banque on vous demandera un certificat	[11377, 11351, 9829, 28359, 5441, 2637, 2627, 36832, 11709, 3062, 31672, 7304, 9840, 2627, 27677]	alors_que que prochain si vouloir ouvrir un agence_bancaire au banque nous vous demander un certificat
cefc-fleuron-V_Rint_03_P6-75	quand je vous demande de passer au bureau pour avoir des renseignements hein euh c'est important	quand je vous demande de passer au bureau pour avoir des renseignements hein euh c'est important	[32874, 6632, 7304, 9840, 7074, 31999, 11709, 2916, 7194, 32761, 5374, 9899, 7095, 36480, 22627]	quand me vous demander de passer au bureau pour avoir plusieurs information celui-là être admirer
cefc-fleuron-V_Rint_03_P6-30	donc euh vous savez qu'il faudra qu'on prendre contact avec elle hein puisque c'est elle qui vous conseillera pour les cours à prendre	donc euh vous savez qu'il faudra qu'on prendre contact avec elle hein puisque c'est elle qui vous conseillera pour les cours à prendre	[9829, 7304, 16885, 11351, 15523, 11351, 31672, 10148, 34098, 31670, 11348, 7095, 36480, 7028, 11351, 7304, 4708, 7194, 8477, 23404, 7041, 10148]	prochain vous savoir que devoir que nous prendre contact il parce_que celui-là être elle que vous conseiller pour les cours à prendre
cefc-fleuron-V_Rint_03_P6-46	alors vous êtes née le dix avril	alors vous êtes née le dix avril	[9839, 7304, 37980, 8476, 29254, 35935]	passé vous naître le 10 avril
cefc-fleuron-V_Rint_03_P6-47	mille neuf cent quatre-vingt-sept	mille neuf cent quatre-vingt-sept	[29258, 35689, 29424]	1000 9 87
cefc-fleuron-V_Rint_03_P6-33	vous allez l'avoir ce soir	vous allez l'avoir ce soir	[7304, 8142, 8476, 32761, 26997]	vous aller le avoir nuit
cefc-fleuron-V_Rint_03_P6-121	pas encore vous irez au test lundi	pas encore vous irez au test lundi	[5526, 37163, 9829, 7304, 8142, 11709, 26144, 6554]	non une_autre_fois prochain vous aller au essayer lundi
cefc-fleuron-V_Rint_03_P6-45	donc nnaammee	donc nnaammee	[36935]	haut_du_corps
cefc-fleuron-V_Rint_03_P6-11	voilà juste la ville	voilà juste la ville	[21381, 8476, 2704, 3417]	juste le ville !
cefc-fleuron-V_Rint_03_P6-131	voilà bien	voilà bien	[5397, 3417]	heureusement !
cefc-fleuron-V_Rint_03_P6-22	hein c'est bien je vois que la carte s'arrête bien à la date euh parfait	hein c'est bien je vois que la carte s'arrête bien à la date euh parfait	[7095, 36480, 5397, 6632, 6564, 11351, 8476, 5505, 38715, 5397, 7041, 8476, 34803, 38006]	celui-là être heureusement me voir que le carte_géographique s'arrêter heureusement à le date impeccable
cefc-fleuron-V_Rint_03_P6-9_2	euh et	euh et	[11399]	et
cefc-fleuron-V_Rint_03_P6-10	où euh ici là-haut	où euh ici là-haut	[7764, 5375, 5388]	où là haut
cefc-fleuron-V_Rint_03_P6-6	apparemment oui oui oui tout me semble correct	apparemment oui oui oui tout me semble correct	[5584, 5596, 6632, 36480, 34641]	oui tout me être exact
cefc-fleuron-V_Rint_03_P6-94	euh ici euh vous avez les salles informatiques dans le bâtiment j qui est juste derrière vous en face de mon bureau bâtiment euh salle j zéro zéro	euh ici euh vous avez les salles informatiques dans le bâtiment j qui est juste derrière vous en face de mon bureau bâtiment euh salle j zéro zéro	[5382, 7304, 32761, 8477, 9915, 7034, 8476, 5989, 11351, 36480, 21381, 5443, 7304, 27365, 7074, 12264, 2916, 5989, 38918, 2626]	ici vous avoir les salle_informatique dans le bâtiment que être juste derrière vous en_face de mon bureau bâtiment salle zéro
cefc-fleuron-V_Rint_03_P6-82	je vais imprimer le papier	je vais imprimer le papier	[9829, 6632, 2970, 8476, 8349]	prochain me imprimante le papier
cefc-fleuron-V_Rint_03_P6-84	votre université ne vous demande pas de papier d'attestion de présence qui dit que vous que vous êtes bien arrivée à l'université	votre université ne vous demande pas de papier d'attestion de présence qui dit que vous que vous êtes bien arrivée à l'université	[9839, 12285, 15537, 7304, 9840, 5526, 7074, 8349, 7074, 7074, 11351, 9693, 11351, 7304, 11351, 7304, 5397, 16807, 7041, 8476, 15537]	passé votre université vous demander non de papier de de que dire que vous que vous heureusement arrive à le université
cefc-fleuron-V_Rint_03_P6-111	et euh vous avez tout de suite la carte d'étudiante	et euh vous avez tout de suite la carte d'étudiante	[11399, 7304, 32761, 32747, 8476, 5505, 7074, 32666]	et vous avoir maintenant le carte_géographique de étudiant
cefc-fleuron-V_Rint_03_P6-118	tout non pas maintenant	tout non pas maintenant	[5596, 5526, 32747]	tout non maintenant
cefc-fleuron-V_Rint_03_P6-138	à bientôt à bientôt	à bientôt à bientôt	[5896]	au_revoir
cefc-fleuron-V_Rint_03_P6-108	vous pouvez vous connecter d'accord	vous pouvez vous connecter d'accord	[7304, 35949, 27399, 31410]	vous pouvoir connexion d'accord
cefc-fleuron-V_Rint_03_P6-128	c'est bien comme ça c'est un test obligatoire	c'est bien comme ça c'est un test obligatoire	[7095, 36480, 5397, 12313, 6906, 7095, 36480, 2627, 15483, 15523]	celui-là être heureusement comme celle-là celui-là être un bêtise devoir
cefc-fleuron-V_Rint_03_P6-56	après l'adresse c'est boudonville	après l'adresse c'est boudonville	[32749, 8476, 30231, 7095, 36480, 2704]	après le adresse celui-là être ville
cefc-fleuron-V_Rint_03_P6-101	je vous donne une documentation qui vous explique	je vous donne une documentation qui vous explique	[6632, 7304, 17040, 8474, 21802, 11351, 7304, 16705]	me vous donner une document que vous expliquer
cefc-fleuron-V_Rint_03_P6-69	deux moi j'envoie les informations	deux moi j'envoie les informations	[2628, 6632, 21828, 8477, 9899]	deux me envoyer les information
cefc-fleuron-V_Rint_03_P6-105	ensuite le numéro ine qui est ici vous validez puis vous avez un nouveau code	ensuite le numéro ine qui est ici vous validez puis vous avez un nouveau code	[32749, 8476, 2879, 24753, 3096, 11351, 36480, 5382, 7304, 28291, 7304, 32761, 2627, 11316, 7064, 7074]	après le numéro contraire e que être ici vous badger vous avoir un nouveau avec de
cefc-fleuron-V_Rint_03_P6-103	donc ici vous tapez étudiant étudiant	donc ici vous tapez étudiant étudiant	[5382, 7304, 8999, 32666]	ici vous coups_de_poing étudiant
cefc-fleuron-V_Rint_03_P6-119	pas maintenant vous vous suivez les cours de français	pas maintenant vous vous suivez les cours de français	[5526, 32747, 7304, 27331, 8477, 36367]	non maintenant vous suivre les français
cefc-fleuron-V_Rint_03_P6-3	donc euh j'ai ce dossier	donc euh j'ai ce dossier	[6632, 32761, 7095, 3233]	me avoir celui-là dossier
cefc-fleuron-V_Rint_03_P6-129	euh et puis ainsi vous pourrez euh assister au cours euh tous les après-midis de la semaine prochaine	euh et puis ainsi vous pourrez euh assister au cours euh tous les après-midis de la semaine prochaine	[9829, 7304, 35949, 21385, 7081, 5596, 8477, 7268, 7074, 8476, 37732, 9829]	prochain vous pouvoir assister pendant tout les après-midi de le semaine prochain
cefc-fleuron-V_Rint_03_P6-98	si vous avez des des problèmes de connexion il y a des informaticiens qui sont là dans la salle juste à côté	si vous avez des des problèmes de connexion il y a des informaticiens qui sont là dans la salle juste à côté	[28359, 7304, 32761, 5374, 5556, 7074, 27399, 9001, 5374, 29114, 11351, 36480, 5375, 7034, 8476, 38918, 21381, 36758]	si vous avoir plusieurs problème de connexion il_y_a plusieurs informaticien que être là dans le salle juste à_côté
cefc-fleuron-V_Rint_03_P6-38	il y a des cybercafés quand vous avez pas la hein si vous voulez vraiment envoyer un message	il y a des cybercafés quand vous avez pas la hein si vous voulez vraiment envoyer un message	[9001, 5374, 6561, 32874, 7304, 32761, 5526, 8476, 28359, 7304, 5441, 21828, 2627, 32540]	il_y_a plusieurs médical quand vous avoir non le si vous vouloir envoyer un courriel
cefc-fleuron-V_Rint_03_P6-42_2	c'est des signes polonais	c'est des signes polonais	[7095, 36480, 5374, 32592, 28985]	celui-là être plusieurs geste polonais
cefc-fleuron-V_Rint_03_P6-92	euh donc vous les gardez pour l'instant	euh donc vous les gardez pour l'instant	[7304, 8477, 25151, 13026]	vous les garder désormais
cefc-fleuron-V_Rint_03_P6-88	s'il y a besoin vous reviendrez me voir	s'il y a besoin vous reviendrez me voir	[6481, 9001, 37160, 9829, 7304, 6630, 6632, 6564]	lui il_y_a besoin prochain vous retourner me voir
cefc-fleuron-V_Rint_03_P6-34	et puis demain vous aurez l'accès à internet	et puis demain vous aurez l'accès à internet	[38278, 9829, 7304, 32761, 8476, 31865, 7041, 5492]	lendemain prochain vous avoir le accès à internet
cefc-fleuron-V_Rint_03_P6-76	je j'écrirai sur cette adresse l' l'adresse de l'université nancy	je j'écrirai sur cette adresse l' l'adresse de l'université nancy	[9829, 6632, 2380, 5451, 8476, 30231, 3033, 8476, 30231, 7074, 8476, 15537]	prochain me écrire sur le adresse l le adresse de le université
cefc-fleuron-V_Rint_03_P6-28	mais j'ai pas j'ai pas écris pas encore	mais j'ai pas j'ai pas écris pas encore	[11377, 9839, 6632, 32761, 5526, 6632, 2380, 5526, 37163]	alors_que passé me avoir non me écrire non une_autre_fois
cefc-fleuron-V_Rint_03_P6-78	et c'est moi qui dois euh le créer ou	et c'est moi qui dois euh le créer ou	[11399, 7095, 36480, 6632, 11351, 15523, 8476, 11698, 11317]	et celui-là être me que devoir le produire ou
cefc-fleuron-V_Rint_03_P6-91	voici le document ici vous avez donc les quatre certificats de scolarité qui peuvent être utiles hein	voici le document ici vous avez donc les quatre certificats de scolarité qui peuvent être utiles hein	[16823, 8476, 21802, 5382, 7304, 32761, 8477, 2630, 27677, 7074, 38021, 11351, 35949, 17036, 3417]	montrer le document ici vous avoir les quatre certificat de formation_civique que pouvoir être_utile !
cefc-fleuron-V_Rint_03_P6-136	bon merci merci	bon merci merci	[34641, 8128]	exact merci
cefc-fleuron-V_Rint_03_P6-36	donc vous pourrez envoyer vos messages	donc vous pourrez envoyer vos messages	[9829, 7304, 35949, 21828, 12283, 32540]	prochain vous pouvoir envoyer à_toi courriel
cefc-fleuron-V_Rint_03_P6-110	donc maintenant vous pouvez aller dans le bâtiment g en g zéro huit on vous prend en photo hein plus besoin de photo d'identité	donc maintenant vous pouvez aller dans le bâtiment g en g zéro huit on vous prend en photo hein plus besoin de photo d'identité	[32747, 7304, 35949, 8142, 7034, 8476, 5989, 11709, 2626, 4896, 31672, 7304, 10148, 11709, 7107, 5508, 37160, 7074, 28307]	maintenant vous pouvoir aller dans le bâtiment au zéro 8 nous vous prendre au photo plus_ besoin de photo_d'identité
cefc-fleuron-V_Rint_03_P6-81	bien la saisie est terminée	bien la saisie est terminée	[5397, 8476, 21851, 32814]	heureusement le écrire_sur_un_clavier terminer
cefc-fleuron-V_Rint_03_P6-58	ça va la chambre euh tout va	ça va la chambre euh tout va	[11597, 8476, 33068, 5596, 8142]	comment_ça_va le chambre tout aller
cefc-fleuron-V_Rint_03_P6-40	bien donc là je vais faire la saisie hein pour votre carte d'étudiante	bien donc là je vais faire la saisie hein pour votre carte d'étudiante	[5397, 5375, 9829, 6632, 6190, 8476, 21851, 7194, 12285, 5505, 7074, 32666]	heureusement là prochain me faire le écrire_sur_un_clavier pour votre carte_géographique de étudiant
cefc-fleuron-V_Rint_03_P6-7	juste me préciser la ville où vous êtes née c'est juste le de le renseignement qu'il me manque	juste me préciser la ville où vous êtes née c'est juste le de le renseignement qu'il me manque	[21381, 6632, 16705, 8476, 2704, 7764, 9839, 7304, 37980, 7095, 36480, 21381, 8476, 7074, 8476, 9899, 11351, 6480, 6632, 32360]	juste me expliquer le ville où passé vous naître celui-là être juste le de le information que il me manquer
cefc-fleuron-V_Rint_03_P6-114	g zéro huit	g zéro huit	[6972, 4896]	0 8
cefc-fleuron-V_Rint_03_P6-60	alors je prends l'adresse électronique	alors je prends l'adresse électronique	[6632, 10148, 8476, 30231, 35027]	me prendre le adresse électronique
cefc-fleuron-V_Rint_03_P6-48	à w	à w	[7041]	à
cefc-fleuron-V_Rint_03_P6-107	ça fonctionnera demain demain	ça fonctionnera demain demain	[9829, 6906, 8555, 38278]	prochain celle-là fonctionner lendemain
cefc-fleuron-V_Rint_03_P6-24	je vous avais donné le nom de votre professeur coordinateur	je vous avais donné le nom de votre professeur coordinateur	[9839, 6632, 7304, 17040, 8476, 38570, 7074, 12285, 2457, 33970]	passé me vous donner le nom de votre maître coordonner
cefc-fleuron-V_Rint_03_P6-83	vingt-cinq nnaammee c'est bon	vingt-cinq nnaammee c'est bon	[29288, 36935, 7095, 36480, 34641]	25 haut_du_corps celui-là être exact
cefc-fleuron-V_Rint_03_P6-130	d'accord vous m'avez dit donc euh	d'accord vous m'avez dit donc euh	[31410, 9839, 7304, 6632, 9693]	d'accord passé vous me dire
cefc-fleuron-V_Rint_03_P6-37	mais euh vous pouvez aussi aller au centre ville quand vous n'avez pas euh hein	mais euh vous pouvez aussi aller au centre ville quand vous n'avez pas euh hein	[11377, 7304, 35949, 8142, 11709, 5424, 2704, 32874, 7304, 32761, 5526]	alors_que vous pouvoir aller au centre ville quand vous avoir non
cefc-fleuron-V_Rint_03_P6-25	oui je j'ai reçu des e-mails	oui je j'ai reçu des e-mails	[5584, 9839, 6632, 17044, 5374, 32540]	oui passé me accepter plusieurs courriel
cefc-fleuron-V_Rint_03_P6-74	donc il faudra bien regarder cette adresse	donc il faudra bien regarder cette adresse	[15523, 5397, 6564, 8476, 30231]	devoir heureusement voir le adresse
cefc-fleuron-V_Rint_03_P6-124	j'ai mis l'information sur lundi vingt-et-un	j'ai mis l'information sur lundi vingt-et-un	[9839, 6632, 6989, 8476, 9899, 5451, 6554, 29280]	passé me mettre le information sur lundi 21
cefc-fleuron-V_Rint_03_P6-106	et euh vous avez l'accès à internet	et euh vous avez l'accès à internet	[11399, 7304, 32761, 8476, 31865, 7041, 5492]	et vous avoir le accès à internet
cefc-fleuron-V_Rint_03_P6-100	vous avez votre login ici	vous avez votre login ici	[7304, 32761, 12285, 6628, 5382]	vous avoir votre voyageur ici
cefc-fleuron-V_Rint_03_P6-26	ah elle a répondu madame nnaammee	ah elle a répondu madame nnaammee	[9839, 7028, 9031, 4744, 36935]	passé elle répondre_à_l’oral monsieur haut_du_corps
cefc-fleuron-V_Rint_03_P6-20	donc vous êtes là pour un semestre	donc vous êtes là pour un semestre	[7304, 36480, 5375, 7194, 2627, 32376]	vous être là pour un sac_à_repas
cefc-fleuron-V_Rint_03_P6-97	vous pouvez vous connecter demain sur internet	vous pouvez vous connecter demain sur internet	[7304, 35949, 27399, 38278, 5451, 5492]	vous pouvoir connexion lendemain sur internet
cefc-fleuron-V_Rint_03_P6-55	nnaammee vous êtes en résidence universitaire d'	nnaammee vous êtes en résidence universitaire d'	[36935, 7304, 36480, 11709, 30674, 3088]	haut_du_corps vous être au résidence_étudiante d
cefc-fleuron-V_Rint_03_P6-5_2	je vais regarder je vais vous dire si c'est si c'est correctement rempli	je vais regarder je vais vous dire si c'est si c'est correctement rempli	[9829, 9839, 6632, 6564, 6632, 8142, 7304, 9693, 28359, 7095, 36480, 28359, 7095, 34641, 38805]	prochain passé me voir me aller vous dire si celui-là être si celui-là exact remplir
cefc-fleuron-V_Rint_03_P6-79	non elle se fera automatiquement hein quand vous ferez la connexion à internet	non elle se fera automatiquement hein quand vous ferez la connexion à internet	[5525, 9829, 7028, 6190, 32874, 7304, 6190, 8476, 27399, 7041, 5492]	non prochain elle faire quand vous faire le connexion à internet
cefc-fleuron-V_Rint_03_P6-122	euh oui le vingt-cinq	euh oui le vingt-cinq	[5584, 8476, 29288]	oui le 25
cefc-fleuron-V_Rint_03_P6-132	bon ben écoutez c'est parfait	bon ben écoutez c'est parfait	[34641, 28659, 7095, 36480, 38006]	exact écouter celui-là être impeccable
cefc-fleuron-V_Rint_03_P6-133	bien ben vous pouvez aller chercher votre carte pour moi	bien ben vous pouvez aller chercher votre carte pour moi	[5397, 9829, 7304, 35949, 9072, 12285, 5505, 2617]	heureusement prochain vous pouvoir aller_chercher votre carte_géographique à_moi
cefc-fleuron-V_Rint_03_P6-4	mais je sais pas si c'est bien rempli	mais je sais pas si c'est bien rempli	[11377, 9839, 5526, 28359, 7095, 5397, 38805]	alors_que passé non si celui-là heureusement remplir
cefc-fleuron-V_Rint_03_P6-23	euh vous étudiez la psychologie	euh vous étudiez la psychologie	[7304, 37810, 8476, 13632]	vous étudier le cours_de_sciences_naturelles
cefc-fleuron-V_Rint_03_P6-66	quinze wp point	quinze wp point	[29268, 3218]	15 point
cefc-fleuron-V_Rint_03_P6-50	ah alors j'ai juste mon petit code	ah alors j'ai juste mon petit code	[6632, 32761, 21381, 12264, 4716, 7064, 7074]	me avoir juste mon petit avec de
cefc-fleuron-V_Rint_03_P6-102	comment vous devez procéder hein pour l'accès internet hein	comment vous devez procéder hein pour l'accès internet hein	[22619, 7304, 15523, 11694, 7194, 8476, 31865, 5492]	comment vous devoir sélectionner pour le accès internet
cefc-fleuron-V_Rint_03_P6-51	ah ll hein	ah ll hein	[4744]	monsieur
cefc-fleuron-V_Rint_03_P6-59	bien oui ça va	bien oui ça va	[5397, 5584, 11597]	heureusement oui comment_ça_va
cefc-fleuron-V_Rint_03_P6-127	oui vous m'avez dit	oui vous m'avez dit	[5584, 9839, 7304, 6632, 9693]	oui passé vous me dire
cefc-fleuron-V_Rint_03_P6-104	ok vous retrouvez ici l'identifiant qui correspond à votre login euh	ok vous retrouvez ici l'identifiant qui correspond à votre login euh	[31410, 7304, 24773, 5382, 8476, 31484, 11351, 5584, 7041, 12285, 31484]	d'accord vous retrouver ici le numéro_de_mobile que oui à votre numéro_de_mobile
cefc-fleuron-V_Rint_03_P6-19	carte européenne très bien parfait	carte européenne très bien parfait	[5505, 5468, 11599, 38006]	carte_géographique europe très_bien impeccable
cefc-fleuron-V_Rint_03_P6-41	c'est un lsl d'accord merci pardon	c'est un lsl d'accord merci pardon	[7095, 36480, 2627, 31410, 8128, 11625]	celui-là être un d'accord merci être_désolé
cefc-fleuron-V_Rint_03_P6-14	oui j'ai également besoin des photocopies	oui j'ai également besoin des photocopies	[5584, 6632, 3423, 37160, 7074, 9876]	oui me égal besoin de photocopie
cefc-fleuron-V_Rint_03_P6-32	oui vous l'aurez demain parce que je vais vous allez la carte d'étudiant	oui vous l'aurez demain parce que je vais vous allez la carte d'étudiant	[5584, 9829, 7304, 8476, 32761, 38278, 11348, 6632, 8142, 7304, 8142, 8476, 5505, 7074, 32666]	oui prochain vous le avoir lendemain parce_que me aller vous aller le carte_géographique de étudiant
cefc-fleuron-V_Rint_03_P6-89	je vous ferai le papier d'accord	je vous ferai le papier d'accord	[9829, 6632, 7304, 6190, 8476, 8349, 31410]	prochain me vous faire le papier d'accord
cefc-fleuron-V_Rint_03_P6-87	non non ben c'est parce que parfois l'université euh souhaite avoir un papier un justificatif euh qui dit que vous êtes bien arrivée euh au campus lettres	non non ben c'est parce que parfois l'université euh souhaite avoir un papier un justificatif euh qui dit que vous êtes bien arrivée euh au campus lettres	[5525, 9839, 7095, 36480, 11348, 27564, 8476, 15537, 32816, 32761, 2627, 8349, 2627, 11351, 9693, 11351, 7304, 5397, 16807, 11709, 32582, 2688]	non passé celui-là être parce_que épisodiquement le université désirer avoir un papier un que dire que vous heureusement arrive au objets lettre
cefc-fleuron-V_Rint_03_P6-29	d'accord d'accord d'accord	d'accord d'accord d'accord	[31410]	d'accord
cefc-fleuron-V_Scol_endo_01_P5-16	d'accord c'est en salle g huit g huit mh	d'accord c'est en salle g huit g huit mh	[31410, 7095, 36480, 11709, 38918, 4896]	d'accord celui-là être au salle 8
cefc-fleuron-V_Scol_endo_01_P5-7	mais euh j'avais fait une demande bourse	mais euh j'avais fait une demande bourse	[11377, 9839, 6632, 6190, 8474, 7217, 33998]	alors_que passé me faire une question indemnité
cefc-fleuron-V_Scol_endo_01_P5-5	parce que je me suis déjà inscrite euh administrativement	parce que je me suis déjà inscrite euh administrativement	[11348, 9839, 6632, 9901]	parce_que passé me enregistrement
cefc-fleuron-V_Scol_endo_01_P5-3	donc moi en fait je viens pour euh une bourse	donc moi en fait je viens pour euh une bourse	[6632, 32669, 7194, 8474, 33998]	me venir pour une indemnité
cefc-fleuron-V_Scol_endo_01_P5-15	et après vous serez remboursée ultérieurement	et après vous serez remboursée ultérieurement	[11399, 32749, 7304, 29070, 32749]	et après vous payer après
cefc-fleuron-V_Scol_endo_01_P5-10_2	alors pour vous vous avez déjà payé vos droits	alors pour vous vous avez déjà payé vos droits	[7194, 7304, 9839, 7304, 29070, 12283, 11247]	pour vous passé vous payer à_toi droits
cefc-fleuron-V_Scol_endo_01_P5-11	non euh le les frais d'inscriptions je les ai réglés oui	non euh le les frais d'inscriptions je les ai réglés oui	[5525, 8476, 8477, 36384, 7074, 9902, 9839, 6632, 8477, 9014, 5584]	non le les dépenses de s'enregistrer passé me les transaction oui
cefc-fleuron-V_Scol_endo_01_P5-9	donc euh je l'ai reçue que maintenant et je ne sais pas quelle démarche il faut suivre euh	donc euh je l'ai reçue que maintenant et je ne sais pas quelle démarche il faut suivre euh	[9839, 6632, 8476, 17044, 11351, 32747, 11399, 5526, 22624, 24709, 15523, 27331]	passé me le accepter que maintenant et non quelle démarches devoir suivre
cefc-fleuron-V_Scol_endo_01_P5-10_1	hum hum			
cefc-fleuron-V_Scol_endo_01_P5-14	euh donc euh il faut euh il faut retourner à la cellule web leur donner une copie de de la notification de bourse	euh donc euh il faut euh il faut retourner à la cellule web leur donner une copie de de la notification de bourse	[15523, 6630, 7041, 8476, 36340, 16913, 12274, 17040, 8474, 7064, 4766, 7074, 8476, 30207, 7074, 33998]	devoir retourner à le cellules_souches page_internet leur donner une avec pie de le liste de indemnité
cefc-fleuron-V_Rint_exo_06_P8-47	hein d'aller au restaurant universitaire euh sinon vous avez d'autres euh d'autres questions	hein d'aller au restaurant universitaire euh sinon vous avez d'autres euh d'autres questions	[7074, 8142, 11709, 35391, 15537, 7304, 32761, 7074, 17056, 7074, 17056, 7217]	de aller au restaurant université vous avoir de autres de autres question
cefc-fleuron-V_Rint_exo_06_P8-8	je vais vous dire	je vais vous dire	[6632, 8142, 7304, 9693]	me aller vous dire
cefc-fleuron-V_Rint_exo_06_P8-79	euh jeudi après-midi plutôt parce que demain après-midi le bureau n'est pas ouvert euh aux étudiants l'après-midi pour jeudi après-midi sans problème on complètera le document	euh jeudi après-midi plutôt parce que demain après-midi le bureau n'est pas ouvert euh aux étudiants l'après-midi pour jeudi après-midi sans problème on complètera le document	[6536, 7268, 14670, 11348, 38278, 7268, 9829, 8476, 2916, 36480, 5526, 36309, 7041, 6042, 8476, 7268, 7194, 6536, 7268, 7813, 5556, 31672, 25056, 8476, 21802]	jeudi après-midi choix parce_que lendemain après-midi prochain le bureau être non ouvert à élève le après-midi pour jeudi après-midi sans problème nous détruire le document
cefc-fleuron-V_Rint_exo_06_P8-76	le cer -~ certificat d'arrivée	le cer certificat d'arrivée	[8476, 12333, 27677, 7074, 5911]	le association_à_but_non_lucratif certificat de attérrissage
cefc-fleuron-V_Rint_exo_06_P8-22	g zéro huit vous connaissez apparemment ici	g zéro huit vous connaissez apparemment ici	[6972, 4896, 7304, 8456, 5382]	0 8 vous connaître ici
